,hits@1,hits@3,hits@10,hits@50,hits@100
/government/governmental_body/members./government/government_position_held/legislative_sessions,1.0,1.0,1.0,1.0,1.0
/government/governmental_body/members./government/government_position_held/legislative_sessions_inv,1.0,1.0,1.0,1.0,1.0
/government/legislative_session/members./government/government_position_held/district_represented,0.905982905982906,0.9829059829059829,1.0,1.0,1.0
/government/legislative_session/members./government/government_position_held/district_represented_inv,0.8547008547008547,0.9743589743589743,0.9914529914529915,1.0,1.0
/government/legislative_session/members./government/government_position_held/legislative_sessions,0.9230769230769231,1.0,1.0,1.0,1.0
/government/legislative_session/members./government/government_position_held/legislative_sessions_inv,1.0,1.0,1.0,1.0,1.0
/government/political_party/politicians_in_this_party./government/political_party_tenure/politician,0.2727272727272727,0.2727272727272727,0.36363636363636365,0.45454545454545453,0.5454545454545454
/government/political_party/politicians_in_this_party./government/political_party_tenure/politician_inv,0.36363636363636365,0.7272727272727273,0.9090909090909091,0.9090909090909091,0.9090909090909091
/government/politician/government_positions_held./government/government_position_held/basic_title,0.5625,0.75,0.9375,1.0,1.0
/government/politician/government_positions_held./government/government_position_held/basic_title_inv,0.0,0.125,0.6875,0.9375,1.0
/government/politician/government_positions_held./government/government_position_held/jurisdiction_of_office,0.2222222222222222,0.5555555555555556,0.6666666666666666,0.8888888888888888,0.8888888888888888
/government/politician/government_positions_held./government/government_position_held/jurisdiction_of_office_inv,0.1111111111111111,0.4444444444444444,0.4444444444444444,0.7777777777777778,0.7777777777777778
/government/politician/government_positions_held./government/government_position_held/legislative_sessions,0.5,0.9,0.9666666666666667,1.0,1.0
/government/politician/government_positions_held./government/government_position_held/legislative_sessions_inv,0.7,0.8666666666666667,1.0,1.0,1.0
/ice_hockey/hockey_team/current_roster./sports/sports_team_roster/position,0.5,1.0,1.0,1.0,1.0
/ice_hockey/hockey_team/current_roster./sports/sports_team_roster/position_inv,0.5,1.0,1.0,1.0,1.0
/influence/influence_node/influenced_by,0.1148936170212766,0.251063829787234,0.425531914893617,0.7574468085106383,0.8680851063829788
/influence/influence_node/influenced_by_inv,0.08085106382978724,0.15319148936170213,0.3702127659574468,0.7404255319148936,0.8765957446808511
/influence/influence_node/peers./influence/peer_relationship/peers,0.0,0.0,0.5,1.0,1.0
/influence/influence_node/peers./influence/peer_relationship/peers_inv,0.0,0.0,0.0,1.0,1.0
/language/human_language/countries_spoken_in,0.28,0.4,0.6,0.76,0.92
/language/human_language/countries_spoken_in_inv,0.16,0.6,0.84,1.0,1.0
/location/administrative_division/country,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0
/location/administrative_division/country_inv,0.0,0.3333333333333333,0.6666666666666666,1.0,1.0
/location/country/capital,0.2727272727272727,0.45454545454545453,0.45454545454545453,0.7272727272727273,0.8181818181818182
/location/country/capital_inv,0.2727272727272727,0.45454545454545453,0.7272727272727273,0.8181818181818182,1.0
/location/country/form_of_government,0.6046511627906976,0.9767441860465116,1.0,1.0,1.0
/location/country/form_of_government_inv,0.0,0.046511627906976744,0.20930232558139536,0.7441860465116279,0.9302325581395349
/location/country/official_language,0.4375,0.75,0.9375,1.0,1.0
/location/country/official_language_inv,0.0625,0.3125,0.5625,0.9375,1.0
/location/country/second_level_divisions,0.5869565217391305,0.9130434782608695,0.9347826086956522,0.9565217391304348,1.0
/location/country/second_level_divisions_inv,0.9782608695652174,0.9782608695652174,1.0,1.0,1.0
/location/hud_county_place/county,0.2857142857142857,0.42857142857142855,0.5714285714285714,1.0,1.0
/location/hud_county_place/county_inv,0.14285714285714285,0.5714285714285714,1.0,1.0,1.0
/location/hud_county_place/place,1.0,1.0,1.0,1.0,1.0
/location/hud_county_place/place_inv,1.0,1.0,1.0,1.0,1.0
/location/hud_foreclosure_area/estimated_number_of_mortgages./measurement_unit/dated_integer/source,1.0,1.0,1.0,1.0,1.0
/location/hud_foreclosure_area/estimated_number_of_mortgages./measurement_unit/dated_integer/source_inv,0.7619047619047619,0.8333333333333334,0.8690476190476191,1.0,1.0
/location/location/adjoin_s./location/adjoining_relationship/adjoins,0.2909090909090909,0.6727272727272727,0.9090909090909091,1.0,1.0
/location/location/adjoin_s./location/adjoining_relationship/adjoins_inv,0.36363636363636365,0.7454545454545455,0.9636363636363636,1.0,1.0
/location/location/contains,0.24242424242424243,0.42727272727272725,0.6272727272727273,0.8454545454545455,0.9242424242424242
/location/location/contains_inv,0.6909090909090909,0.8272727272727273,0.896969696969697,0.9636363636363636,0.9787878787878788
/location/location/partially_contains,0.38461538461538464,0.6923076923076923,0.7692307692307693,1.0,1.0
